MgII,2799.117,b
OII,3727.092,b
Hd,4102.89,b
Hg,4341.68,b
Hb,4862.68,b
OIII,4960.295,b
OIIIR,5008.24,b
,6549.86,b
Ha + NII,6564.61,b
,6585.27,b
,6718.29,b
SII,6732.67,b
K,3934.777,r
H,3969.588,r
G,4305.61,r
Mg,5176.7,r
Na,5895.6,r
